transaction_id,item_id,seller_id,year,month,day,num_items
1,1,1,2009,5,29,1
2,2,8,2009,11,30,1
3,3,15,2009,1,27,1
4,4,13,2009,12,21,1
5,5,11,2009,12,21,1
6,6,7,2009,3,17,1
7,7,7,2009,9,16,1
8,8,5,2009,7,3,2
9,9,17,2009,7,15,1
10,10,5,2009,11,30,1
11,11,6,2009,11,28,1
12,12,7,2009,10,21,1
13,13,6,2009,1,5,1
14,14,11,2009,10,31,1
15,15,14,2009,5,12,1
16,16,17,2009,9,23,1
17,17,20,2009,4,7,1
18,18,12,2009,1,28,1
19,19,12,2009,12,21,1
20,20,12,2009,8,26,1
21,21,17,2009,1,20,1
22,22,15,2009,2,23,1
23,23,19,2009,6,25,1
24,24,13,2009,1,20,1
25,25,5,2009,10,11,1
26,26,9,2009,4,25,1
27,27,7,2009,12,1,1
28,28,6,2009,11,4,1
29,29,15,2009,4,13,1
30,29,9,2009,12,22,1
31,29,4,2009,8,23,1
32,30,19,2009,11,9,1
33,31,20,2009,10,7,1
34,32,12,2009,7,24,1
35,33,15,2009,7,24,1
36,34,17,2009,7,22,1
37,35,14,2009,10,7,1
38,35,12,2009,7,22,1
39,36,16,2009,7,22,1
40,37,15,2009,2,7,1
41,38,18,2009,5,14,1
42,39,8,2009,3,18,1
43,40,17,2009,2,27,1
44,41,14,2009,11,8,1
45,42,20,2009,11,8,1
46,43,18,2009,5,17,1
47,44,1,2009,10,13,1
48,44,1,2009,10,24,1
49,45,18,2009,7,31,1
50,46,9,2009,3,9,1
51,47,14,2009,12,16,1
52,48,8,2009,1,31,1
53,49,17,2009,10,7,1
54,50,18,2009,3,14,1
55,51,18,2009,10,5,1
56,52,2,2009,12,3,1
57,53,20,2009,1,28,1
58,54,17,2009,3,3,1
59,54,12,2009,3,7,1
60,55,20,2009,8,14,1
61,56,11,2009,10,4,1
62,57,19,2009,3,29,1
63,58,20,2009,6,29,1
64,59,19,2009,8,29,1
65,60,15,2009,8,29,1
66,61,15,2009,2,21,1
67,62,18,2009,10,31,1
68,62,13,2009,11,13,-1
69,63,13,2009,10,15,2
70,64,9,2009,5,13,2
71,65,3,2009,7,9,1
72,66,14,2009,2,21,1
73,67,16,2009,11,30,1
74,68,2,2009,3,19,1
75,68,20,2009,3,20,1
76,68,19,2009,3,20,1
77,69,9,2009,1,9,1
78,70,4,2009,10,28,1
79,71,7,2009,10,28,1
80,72,6,2009,10,29,1
81,73,6,2009,10,28,1
82,74,13,2009,8,26,1
83,75,7,2009,12,11,1
84,76,13,2009,12,27,1
85,77,16,2009,4,14,1
86,78,1,2009,10,4,1
87,79,19,2009,10,6,1
88,80,5,2009,7,14,1
89,81,9,2009,12,7,1
90,82,12,2009,11,19,1
91,82,3,2009,10,21,1
92,83,7,2009,6,16,1
93,84,4,2009,7,24,1
94,85,5,2009,3,7,1
95,86,1,2009,7,30,1
96,87,3,2009,3,7,1
97,88,20,2009,6,17,1
98,89,2,2009,7,13,1
99,90,20,2009,5,14,1
100,91,8,2009,12,5,1
101,92,17,2009,2,9,1
102,93,17,2009,6,3,1
103,94,17,2009,5,6,1
104,95,12,2009,10,19,1
105,96,4,2009,10,22,1
106,97,2,2009,3,10,1
107,98,16,2009,12,29,4
108,99,20,2009,7,16,1
109,100,5,2009,9,6,1
110,101,15,2009,12,7,1
111,102,20,2009,12,11,1
112,103,19,2009,8,27,1
113,104,6,2009,7,13,1
114,105,14,2009,2,11,1
115,106,11,2009,5,12,1
116,107,16,2009,5,12,1
117,108,19,2009,7,2,1
118,109,1,2009,11,23,1
119,110,17,2009,2,7,1
120,111,11,2009,2,7,1
121,112,11,2009,3,11,1
122,113,1,2009,3,14,1
123,114,1,2009,10,15,1
124,115,4,2009,6,18,2
125,115,6,2009,5,29,1
126,116,10,2009,5,29,1
127,117,5,2009,6,18,3
128,118,17,2009,2,27,1
129,119,16,2009,2,24,1
130,120,17,2009,4,19,1
131,121,18,2009,10,3,1
132,122,6,2009,8,23,1
133,123,12,2009,12,21,1
134,124,19,2009,10,12,1
135,125,19,2009,5,14,1
136,126,3,2009,5,25,1
137,127,18,2009,3,19,1
138,128,10,2009,4,6,1
139,129,4,2009,11,24,1
